State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount,Region
Andaman and Nicobar Islands,2021,2,Merchant payments,85143,103707408.5,Southern Region
Andaman and Nicobar Islands,2021,2,Financial Services,960,2038521.514,Southern Region
Andaman and Nicobar Islands,2021,2,Others,1628,1327080.056,Southern Region
Andaman and Nicobar Islands,2021,3,Peer-to-peer payments,192321,1077787837,Southern Region
Andaman and Nicobar Islands,2021,3,Recharge & bill payments,136010,51243450.86,Southern Region
Andaman and Nicobar Islands,2021,3,Merchant payments,118340,176991328.2,Southern Region
Andaman and Nicobar Islands,2021,3,Financial Services,990,2351013.442,Southern Region
Andaman and Nicobar Islands,2021,3,Others,2103,1650766.127,Southern Region
Andaman and Nicobar Islands,2021,4,Peer-to-peer payments,285778,1544932663,Southern Region
Andaman and Nicobar Islands,2021,4,Merchant payments,210164,322842314.6,Southern Region
Andaman and Nicobar Islands,2021,4,Recharge & bill payments,135608,59243518.11,Southern Region
Andaman and Nicobar Islands,2021,4,Financial Services,1718,3137965.167,Southern Region
Andaman and Nicobar Islands,2021,4,Others,2855,2453640.143,Southern Region
Andaman and Nicobar Islands,2022,1,Peer-to-peer payments,342649,1682328506,Southern Region
Andaman and Nicobar Islands,2022,1,Merchant payments,284298,370091558.7,Southern Region
Andaman and Nicobar Islands,2022,1,Recharge & bill payments,163401,71300133.66,Southern Region
Andaman and Nicobar Islands,2022,1,Financial Services,1757,2869682.023,Southern Region
Andaman and Nicobar Islands,2022,1,Others,2643,2440321.982,Southern Region
Andaman and Nicobar Islands,2022,2,Merchant payments,449540,510838980.9,Southern Region
Andaman and Nicobar Islands,2022,2,Peer-to-peer payments,437606,2088309073,Southern Region
Andaman and Nicobar Islands,2022,2,Recharge & bill payments,179515,82232936.62,Southern Region
Andaman and Nicobar Islands,2022,2,Financial Services,1448,2089862.393,Southern Region
Andaman and Nicobar Islands,2022,2,Others,3108,2449496.708,Southern Region
Andaman and Nicobar Islands,2022,3,Merchant payments,716105,693438186.3,Southern Region
Andaman and Nicobar Islands,2022,3,Peer-to-peer payments,622217,2514535155,Southern Region
Andaman and Nicobar Islands,2022,3,Recharge & bill payments,240766,97748065.63,Southern Region
Andaman and Nicobar Islands,2022,3,Financial Services,1814,2166304.978,Southern Region
Andaman and Nicobar Islands,2022,3,Others,3477,2744060.671,Southern Region
Andaman and Nicobar Islands,2022,4,Merchant payments,956536,906365300.7,Southern Region
Andaman and Nicobar Islands,2022,4,Peer-to-peer payments,768758,2961630585,Southern Region
Andaman and Nicobar Islands,2022,4,Recharge & bill payments,256050,110037119.7,Southern Region
Andaman and Nicobar Islands,2022,4,Financial Services,2499,3533987.23,Southern Region
Andaman and Nicobar Islands,2022,4,Others,3692,3107412.044,Southern Region
